"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"BAR.PRM.CMPT.75UP.ZS","Attainment","Barro-Lee: Percentage of population age 75+ with primary schooling. Completed Primary","Percentage of population age 75+ with primary schooling. Completed Primary","Percentage of population age 75+ with primary schooling. Completed Primary","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.1519.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.1519.ZS","Attainment","Barro-Lee: Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 15-19 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.15UP.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 15+ with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.15UP.ZS","Attainment","Barro-Lee: Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 15+ with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.2024.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.2024.ZS","Attainment","Barro-Lee: Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 20-24 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.2529.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.2529.ZS","Attainment","Barro-Lee: Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 25-29 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.25UP.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 25+ with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.25UP.ZS","Attainment","Barro-Lee: Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 25+ with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.3034.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.3034.ZS","Attainment","Barro-Lee: Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 30-34 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.3539.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.3539.ZS","Attainment","Barro-Lee: Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 35-39 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.4044.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.4044.ZS","Attainment","Barro-Lee: Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 40-44 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.4549.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.4549.ZS","Attainment","Barro-Lee: Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.5054.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.5054.ZS","Attainment","Barro-Lee: Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.5559.FE.ZS","Attainment","Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
"BAR.PRM.ICMP.5559.ZS","Attainment","Barro-Lee: Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)","Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)","","","","","","","","","Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/","","","","","","",
